Admin 1,Admin 2,Admin 3,Facility,HF_Type,Catchment,Latitude,Longitude
Azad Kashmir,Sudhnati,Mong,Bathian,MCHC/CHC, -   ,0,0
Azad Kashmir,Sudhnati,Palandri,Azad Patan,MCHC/CHC, -   ,33.728472,73.607338
Azad Kashmir,Sudhnati,Mong,Dhingroon Bathaian,BHU,"11,097",33.815135,73.611766
Azad Kashmir,Sudhnati,Mong,Challar,BHU, -   ,33.739226,73.681507
Azad Kashmir,Sudhnati,Trarlkhal,Pothi Mir Khan,BHU,"13,422",0,0
Azad Kashmir,Sudhnati,Palandri,Baitran,BHU,"4,088",0,0
Azad Kashmir,Sudhnati,Palandri,Azad Patan,BHU,"6,118",0,0
Azad Kashmir,Sudhnati,Palandri,Pona,BHU,"8,901",0,0
Azad Kashmir,Sudhnati,Palandri,Kakrool,BHU, -   ,33.729737,73.656837
Azad Kashmir,Sudhnati,Palandri,Pura,BHU,"2,039",33.719142,73.648297
Azad Kashmir,Sudhnati,Palandri,Gorah,BHU,"8,307",33.76184,73.715982
Azad Kashmir,Sudhnati,Palandri,Baral,BHU,"15,260",33.649559,73.691154
Azad Kashmir,Sudhnati,Palandri,Tahlian,BHU,"7,348",33.613344,73.778607
Azad Kashmir,Sudhnati,Palandri,Thalian,BHU,"15,585",0,0
Azad Kashmir,Sudhnati,Mong,Mong,RHC,"14,943",33.805646,73.632324
Azad Kashmir,Sudhnati,Trarlkhal,Trar Khel,SHC,"17,092",33.7,73.7666
Azad Kashmir,Sudhnati,Palandri,Chachan,RHC,"6,730",33.664108,73.626947
Azad Kashmir,Sudhnati,Balooch,Blouch,RHC,"17,798",33.647977,73.815612
Azad Kashmir,Sudhnati,Palandri,Palandri,SHC,"280,000",33.7166,73.7
Azad Kashmir,Neelum,Sharda,Kel,SHC,"22,660",34.82167,74.34667
Azad Kashmir,Neelum,Athmuqm,Athmuqam,RHC,"18,962",34.58511,73.907293
Azad Kashmir,Neelum,Sharda,Sharda,RHC,"22,000",34.792004,74.189898
Azad Kashmir,Neelum,Athmuqm,Dawarian,CD/GD,"3,100",34.736543,73.991096
Azad Kashmir,Neelum,Sharda,Kail Domail,BHU,"4,700",34.88,74.34
Azad Kashmir,Neelum,Athmuqm,Negdar,BHU,"16,000",34.6825,73.80167
Azad Kashmir,Neelum,Athmuqm,Ashkot,BHU,"12,657",34.475883,73.829886
Azad Kashmir,Neelum,Athmuqm,Mirpura,BHU,"11,394",34.44579,73.81628
Azad Kashmir,Neelum,Sharda,Janwai,BHU,"8,400",34.794444,74.5375
Azad Kashmir,Neelum,Sharda,Sargan,BHU,"7,173",34.8,74.183333
Azad Kashmir,Neelum,Athmuqm,Katha Chogali,CD/GD,"12,150",34.429307,73.771592
Azad Kashmir,Neelum,Athmuqm,Chelana,BHU,"10,209",34.40044,73.77322
Azad Kashmir,Neelum,Athmuqm,Laswa,BHU,"7,490",34.4625,73.7939
