Admin 1,Admin 2,Admin 3,Facility,Facility Type,Catchment,Latitude,Longitude,UID
Azad Kashmir,Poonch,Rawalakot,Rehara,Bhu,"19,711",33.83056,73.68278,215-fac1
Azad Kashmir,Poonch,Rawalakot,Dhamni,Bhu,"15,972",33.864361,73.792028,216-fac1
Azad Kashmir,Poonch,Rawalakot,Chotagala,Bhu,"8,676",33.815,73.805139,217-fac1
Azad Kashmir,Poonch,Rawalakot,Pothi Makwalaina,Bhu,"11,875",33.889278,73.734917,218-fac1
Azad Kashmir,Poonch,Rawalakot,Khurichana,Bhu,"6,358",33.862524,73.899732,219-fac1
Azad Kashmir,Poonch,Rawalakot,Rawlakot H/Q,Bhu,"26,772",33.854306,73.766444,220-fac1
Azad Kashmir,Poonch,Rawalakot,Singola,Bhu,"15,252",33.893833,73.794,221-fac1
Azad Kashmir,Poonch,Rawalakot,Namnota,Bhu,"11,735",33.859472,73.849083,222-fac1
Azad Kashmir,Poonch,Rawalakot,Khaigala,Bhu,"23,862",33.847056,73.8295,223-fac1
Azad Kashmir,Poonch,Abbasspur,Kahali Drammon,Bhu,"33,945",33.858167,73.965389,224-fac1
Azad Kashmir,Poonch,Abbasspur,Chaffar,Bhu,"8,738",33.81583,74.01306,225-fac1
Azad Kashmir,Poonch,Hajira,Sehra,Bhu,"12,116",33.640626,73.962479,226-fac1
Azad Kashmir,Poonch,Hajira,Tanda Ghamir,Bhu,"16,835",33.783917,73.946583,227-fac1
Azad Kashmir,Poonch,Hajira,Mandhol,Bhu,"20,863",33.677417,73.960278,228-fac1
Azad Kashmir,Poonch,Hajira,Davi Gali,Bhu,"13,584",33.77313,73.854942,229-fac1
Azad Kashmir,Poonch,Hajira,Sirani,Bhu,"12,335",0,0,230-fac1
Azad Kashmir,Poonch,Hajira,Rakkar,Bhu,"15,862",33.705722,73.917111,231-fac1
Azad Kashmir,Poonch,Hajira,Tatrinote,Bhu,"13,391",33.761208,73.664902,232-fac1
Azad Kashmir,Poonch,Hajira,Pothi Chaprian,Bhu,"15,000",33.81722,73.875,233-fac1
Azad Kashmir,Poonch,Rawalakot,Jandala,Bhu,"9,214",33.956278,73.631333,234-fac1
Azad Kashmir,Poonch,Rawalakot,Thorar,Bhu,"13,380",33.84917,73.64111,235-fac1
Azad Kashmir,Poonch,Rawalakot,Khotara,Bhu,"6,378",33.861312,73.689888,236-fac1
Azad Kashmir,Poonch,Rawalakot,Datote,Bhu,"8,000",33.903972,73.670389,237-fac1
Azad Kashmir,Poonch,Rawalakot,Hurnamara,Bhu,"18,145",33.877127,73.704596,238-fac1
Azad Kashmir,Poonch,Rawalakot,Bhalgran,Bhu,"4,560",33.849806,73.60806,239-fac1
Azad Kashmir,Poonch,Rawalakot,Dahal Kot,Bhu,"3,733",33.916707,73.617469,240-fac1
Azad Kashmir,Poonch,Abbasspur,Abbaspur,Rhc,"91,130",33.812361,73.978611,241-fac1
Azad Kashmir,Poonch,Rawalakot,Tain,Rhc,"3,993",33.901222,73.611722,242-fac1
Azad Kashmir,Poonch,Hajira,Hajira,Rhc,"245,000",33.770778,73.89575,243-fac1
Azad Kashmir,Poonch,Rawalakot,Paniola,Rhc,"24,063",33.919639,73.687139,244-fac1
Azad Kashmir,Poonch,Rawalakot,Ali Sojal,Rhc,"13,249",33.869611,73.87875,245-fac1
Azad Kashmir,Poonch,Rawalakot,Banjosa,Rhc,"12,456",33.796222,73.796361,246-fac1
Azad Kashmir,Sudhnati,Mong,Kanchary,Fap,"3,900",33.820195,73.644659,247-fac1
Azad Kashmir,Sudhnati,Balooch,Bathak,Fap,"15,513",33.692574,73.804226,248-fac1
Azad Kashmir,Sudhnati,Balooch,Manghri,Fap,"2,454",0,0,249-fac1
Azad Kashmir,Sudhnati,Balooch,Kahala,Fap,"15,005",0,0,250-fac1
Azad Kashmir,Sudhnati,Balooch,Talawari,Fap,"3,000",33.677392,73.769276,251-fac1
Azad Kashmir,Sudhnati,Palandri,Nakar,Fap,"5,172",33.719458,73.723415,252-fac1
Azad Kashmir,Sudhnati,Palandri,Sehar Hawal Kot,Fap,"5,958",33.687197,73.732429,253-fac1
Azad Kashmir,Sudhnati,Palandri,Numb Dhar,Fap,"4,130",33.677234,73.66079,254-fac1
Azad Kashmir,Sudhnati,Palandri,Pir Gali,Fap,"2,037",33.743179,73.73749,255-fac1
Azad Kashmir,Sudhnati,Palandri,Kot Kotli,Fap,"4,175",0,0,256-fac1
Azad Kashmir,Sudhnati,Palandri,Dana Panthal,Fap,"2,468",33.596106,73.714875,257-fac1
Azad Kashmir,Sudhnati,Mong,Islam Nager,Fap,"3,519",33.785245,73.57476,258-fac1
Azad Kashmir,Sudhnati,Palandri,Islam Pura,Cd/Gd,"3,400",33.666322,73.670121,259-fac1
